Site,Sp,ID Code,Rep,Tree,IN/OUT,Height,Year,DBH,NYear,NyearQ,sqdbh,ttdbh,sqht
Brighton,BS,S-BS-Mlt,1,1,OUT,4.5,5,0,5,4,0,0,2.121320344
Brighton,BS,S-BS-Mlt,1,1,OUT,10.4,10,2.1,10,1,1.449137675,1.639882998,3.224903099
Brighton,BS,S-BS-Mlt,1,1,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,1,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,1,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,2,OUT,6.8,5,0.6,5,4,0.774596669,0.711378661,2.607680962
Brighton,BS,S-BS-Mlt,1,2,OUT,13.1,10,2.8,10,1,1.673320053,1.986576777,3.619392214
Brighton,BS,S-BS-Mlt,1,2,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,2,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,2,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,3,OUT,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,1,3,OUT,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,1,3,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,3,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,3,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,4,OUT,4.4,5,0,5,4,0,0,2.097617696
Brighton,BS,S-BS-Mlt,1,4,OUT,10.3,10,1.7,10,1,1.303840481,1.424402129,3.209361307
Brighton,BS,S-BS-Mlt,1,4,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,4,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,4,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,5,OUT,4.8,5,0.1,5,4,0.316227766,0.215443469,2.19089023
Brighton,BS,S-BS-Mlt,1,5,OUT,10.5,10,1.4,10,1,1.183215957,1.251464949,3.240370349
Brighton,BS,S-BS-Mlt,1,5,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,5,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,5,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,6,OUT,5.5,5,0.3,5,4,0.547722558,0.448140475,2.34520788
Brighton,BS,S-BS-Mlt,1,6,OUT,12.4,10,1.7,10,1,1.303840481,1.424402129,3.521363372
Brighton,BS,S-BS-Mlt,1,6,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,6,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,6,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,7,OUT,1.7,5,0,5,4,0,0,1.303840481
Brighton,BS,S-BS-Mlt,1,7,OUT,5.8,10,0.3,10,1,0.547722558,0.448140475,2.408318916
Brighton,BS,S-BS-Mlt,1,7,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,7,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,7,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,8,IN,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,1,8,IN,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,1,8,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,8,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,8,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,9,IN,1.8,5,0,5,4,0,0,1.341640787
Brighton,BS,S-BS-Mlt,1,9,IN,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,1,9,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,9,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,9,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,10,IN,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,1,10,IN,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,1,10,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,10,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,10,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,11,IN,3.8,5,0,5,4,0,0,1.949358869
Brighton,BS,S-BS-Mlt,1,11,IN,12.1,10,1.8,10,1,1.341640787,1.479727245,3.478505426
Brighton,BS,S-BS-Mlt,1,11,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,11,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,11,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,12,OUT,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,1,12,OUT,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,1,12,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,12,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,12,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,13,OUT,5.6,5,0.3,5,4,0.547722558,0.448140475,2.366431913
Brighton,BS,S-BS-Mlt,1,13,OUT,14.3,10,2.4,10,1,1.549193339,1.792561899,3.78153408
Brighton,BS,S-BS-Mlt,1,13,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,13,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,13,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,14,IN,5.3,5,0.3,5,4,0.547722558,0.448140475,2.302172887
Brighton,BS,S-BS-Mlt,1,14,IN,12.4,10,2,10,1,1.414213562,1.587401052,3.521363372
Brighton,BS,S-BS-Mlt,1,14,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,14,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,14,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,15,IN,3.9,5,0,5,4,0,0,1.974841766
Brighton,BS,S-BS-Mlt,1,15,IN,10.4,10,1.3,10,1,1.140175425,1.191138425,3.224903099
Brighton,BS,S-BS-Mlt,1,15,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,15,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,15,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,16,IN,3.3,5,0,5,4,0,0,1.816590213
Brighton,BS,S-BS-Mlt,1,16,IN,8.5,10,0.9,10,1,0.948683298,0.932169752,2.915475947
Brighton,BS,S-BS-Mlt,1,16,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,16,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,16,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,17,IN,5.7,5,0.3,5,4,0.547722558,0.448140475,2.387467277
Brighton,BS,S-BS-Mlt,1,17,IN,13.3,10,2.2,10,1,1.483239697,1.691538112,3.646916506
Brighton,BS,S-BS-Mlt,1,17,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,17,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,17,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,18,OUT,,5,,5,4,,,
