"","area_name","area_code","covid_rate","area","popden","under15","age_15_64","over_65","white","black","asian_indian","asian_bang","asian_chin","mixed_ethnicity","other_ethnicity","BAME","imd","imd_income","imd_emp","imd_edu","imd_health","imd_crime","imd_house","imd_living_env","imd_daci","imd_daopi"
"1","Barking and Dagenham","E09000002",25.9855522266031,3609.04,51.5,24.6160797370785,64.9913130476411,10.3926072152804,58.2020429130068,19.9773009665915,3.99976332761375,4.14230465115028,0.707327699813352,4.23751149743695,1.56687877532798,28.8266966451689,34.635,0.242,0.156,27.182,0.373,0.907,37.618,26.539,0.319,0.279
"2","Barnet","E09000003",20.3206635501956,8673.72,41.1,19.6090755529117,67.0817596650822,13.309164782006,64.0883760866027,7.69699146431117,7.83420224138995,0.621517119078752,2.31743109998709,4.81752930810975,4.85849612498807,18.470141924767,17.813,0.133,0.089,8.481,-0.727,0.393,31.025,23.929,0.175,0.177
"3","Barnsley","E08000016",45.9949572054441,32905.31,7,17.254920617072,65.4412877723044,17.3037916106236,97.7947504768165,0.528066222358696,0.191159107520511,0.0259492001159064,0.190294134183314,0.704953269815458,0.183374347485739,0.935468664178427,29.568,0.188,0.181,37.762,0.832,0.135,10.889,12.024,0.249,0.186
"4","Bath and North East Somerset","E06000022",20.9753658758295,34574.08,5.1,15.6269884555949,66.2968139260067,18.0761976183983,94.5453822379784,0.753340605399509,0.634033269702754,0.124420507226616,1.08626488501045,1.64644123261522,0.421552586128534,2.59805926733933,12.094,0.091,0.076,13.671,-0.537,-0.38,18.012,16.469,0.121,0.115
"5","Bedford","E06000055",21.4695292705694,47641.2,3.3,18.6882060465205,65.5204820960255,15.791311857454,80.4748569650557,3.93830288482909,5.15751306523409,2.04789209989903,0.574679798576318,3.42013855815696,0.706760901453527,11.7183878485385,19.238,0.136,0.113,19.998,-0.218,-0.157,25.077,18.494,0.189,0.135
"6","Bexley","E09000004",21.9614908813476,6055.95,38.3,19.0584361004668,64.9017013151032,16.03986258443,81.6122622275288,8.45873006978539,3.03753927852515,0.334918123941258,1.08363470217287,2.3254611051005,0.764234020267503,12.9148221744247,16.17,0.126,0.097,18.31,-0.639,0.071,23.637,14.349,0.194,0.122
"7","Birmingham","E08000025",38.2751888317825,26778.82,40.1,21.4268739894413,65.6926783126523,12.8804476979064,57.8939373465232,8.98005209473974,6.0222078291218,3.03174610570852,1.18466606712673,4.43644022384895,2.03197442791309,19.2186720966968,37.768,0.242,0.178,30.94,0.571,0.434,35.43,38.363,0.305,0.282
"8","Blackburn with Darwen","E06000008",66.5269952335428,13701.18,10.8,21.7494186007092,65.326905735343,12.9236756639478,69.0546413630847,0.632589549051116,13.4186278298721,1.0339754151157,0.488850015933392,1.2360243814793,0.833960498749059,15.5740428099723,34.189,0.215,0.18,34.903,1.022,0.484,12.478,30.637,0.24,0.247
"9","Blackpool","E06000009",37.2575933551543,3488.1,40.7,16.6867279062401,64.1396543835568,19.1736177102031,96.5065287016507,0.243550487452926,0.441347270615563,0.16260162601626,0.361806215464752,1.23394220955197,0.242846584309999,1.2093055995495,41.997,0.257,0.228,35.579,1.489,0.831,8.343,37.918,0.329,0.253
"10","Bolton","E08000001",55.3026525908102,13980.34,19.8,19.305889748759,65.3248357937179,15.3692744575231,81.8072445860701,1.68072084570751,7.82734675886786,0.221832029076615,0.514115598332286,1.7674304336202,0.667663826927663,10.2440152319843,28.42,0.19,0.16,25.376,0.672,0.22,18.117,24.352,0.231,0.211
"11","Bracknell Forest","E06000036",13.2856322600592,10938.54,10.3,19.3048010246897,68.1984011306921,12.4967978446182,90.4871692946425,1.93366017402058,1.75698953226448,0.118369329976591,0.491144384081975,2.03436243982156,0.437259838346363,4.30016342034362,10.462,0.082,0.066,14.846,-0.823,-0.499,24.201,4.315,0.11,0.118
"12","Bradford","E08000032",56.5927587606134,36641.72,14.3,21.9957048685812,64.7223094178987,13.2819857135201,67.3524074938942,1.77375146424935,2.59449671931584,1.887828929739,0.399271129213784,2.48424735669497,1.48147581021797,6.65534824251797,33.168,0.205,0.162,36.121,0.636,0.53,18.484,35.715,0.249,0.227
"13","Brent","E09000005",21.403209999518,4323.52,72,18.9695226772488,70.5309834037563,10.4994939189949,36.1679224973089,18.8397088829266,18.6420962999855,0.561990906607972,1.04429413749337,5.06884308275629,5.76514628150957,39.0880902270135,26.655,0.188,0.12,16.378,-0.227,0.627,38.073,29.343,0.265,0.28
"14","Brighton and Hove","E06000043",15.1370491899228,8266.71,33.1,15.2606915926824,71.6829633206399,13.0563450866777,89.0057029143758,1.5319952152585,1.09595455227184,0.500056699918425,1.09705197004781,3.80730807077613,1.457005000567,4.22505843749657,23.441,0.14,0.112,19.899,0.278,0.133,25.376,34.253,0.183,0.205
"15","Bristol, City of","E06000023",36.2839008579422,10960.76,39.1,17.3206704745536,69.6322571304474,13.047072394999,83.8870804279903,6.00933134688044,1.52883703769434,0.491320166077425,0.907447797232354,3.60503836687419,0.890868076799133,8.93693634788457,27.161,0.167,0.129,27.677,0.315,0.519,20.43,31.854,0.246,0.198
